Species,Order,Family,Year,Longitude,Latitude,Site,Country,Density (Ind/km2),Method,Mass (g),Diet,Continent,Accessibility_1deg,Human Footprint_1deg,Night Lights_1deg,Cropland_1deg,Pasture_1deg,Human Population Density_1deg,NDVI_1deg,Species Richness_1deg,Accessibility_1km,Human Footprint_1km,Night Lights_1km,Cropland_1km,Pasture_1km,Human Population Density_1km,NDVI_1km,Night Lights_50km,Cropland_50km,Pasture_50km,Human Population Density_50km,NDVI_50km,Accessibility_50km,Human Footprint_50km,Species Richness_50km,Accessibility_10km,Human Footprint_10km,Night Lights_10km,Cropland_10km,Pasture_10km,Human Population Density_10km,NDVI_10km,Species Richness_10km,Accessibility_10kmBuff,Human Footprint_10kmBuff,Night Lights_10kmBuff,Cropland_10kmBuff,Pasture_10kmBuff,Human Population Density_10kmBuff,NDVI_10kmBuff,Species Richness_10kmBuff
Sus scrofa,Cetartiodactyla,Suidae,1999,102.5,4.772,"Merapoh, Taman Negara National Park",Malaysia,4.17,Mark_recapture,96118.09,Omnivore,Asia,867,5.597,0.938,10.562,0.527,15.866,0.801,151.628,1562,2,0,0,0,2.965,0.818,0.259,8.765,0.571,7.286,0.794,936,2.807,166.536,1679,2,0,0,0,2.119,0.806,166.536,1532.75,1.965,0,0.935,0.088,3.499,0.812,165.596
Sus scrofa,Cetartiodactyla,Suidae,1999,104.137,-5.25,Indonesia (Sumatra),Indonesia,4.4,Counts,96118.09,Omnivore,Asia,366,8.462,0.204,26.422,4.8,50.896,0.776,63.465,1105,3.992,0,0,0,0.484,0.837,0.046,17.173,2.948,21.319,0.782,NA,8.238,136.915,830,3.992,0.001,0,0,1.116,0.831,136.915,771.5,5.433,0.001,7.056,0.967,7.277,0.82,136.655
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,441.667,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1417.25,0.498,0.026,0,0,0.037,0.224,40.571
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138,61,Yukon,Canada,442,Census,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,40.649,1164,0.303,0,0,0,0.02,0.328,0.094,0,0,0.057,0.232,1358,0.438,40.684,1170,0.303,0,0,0,0,0.303,40.684,1385.61,0.527,0.036,0,0,0.043,0.238,40.759
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,516.667,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1433.793,0.53,0.034,0,0,0.041,0.222,40.471
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,450,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1423.602,0.503,0.027,0,0,0.037,0.223,40.556
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,444.167,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1417.25,0.505,0.027,0,0,0.037,0.224,40.571
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,191.67,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1333.177,0.652,0.046,0,0,0.061,0.247,40.872
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,412.5,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1420.663,0.485,0.025,0,0,0.039,0.225,40.61
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,452.719,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1427.057,0.499,0.027,0,0,0.037,0.222,40.546
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,525,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1443.046,0.535,0.036,0,0,0.04,0.221,40.478
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,277.5,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1384.895,0.552,0.031,0,0,0.045,0.235,40.731
Tamiasciurus hudsonicus,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,216.67,Mark_recapture,201.168,Omnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1349.56,0.625,0.04,0,0,0.056,0.243,40.778
Tapirus indicus,Perissodactyla,Tapiridae,1999,102.5,4.772,"Merapoh, Taman Negara National Park",Malaysia,3.76,Mark_recapture,296250,Herbivore,Asia,867,5.597,0.938,10.562,0.527,15.866,0.801,151.628,1562,2,0,0,0,2.965,0.818,0.259,8.765,0.571,7.286,0.794,936,2.807,166.536,1679,2,0,0,0,2.119,0.806,166.536,1532.75,1.965,0,0.935,0.088,3.499,0.812,165.596
Trachypithecus francoisi,Primates,Cercopithecidae,1999,107.092,22.277,Longzhou-Ningming (Guangxi),China,3.31,Census,8516.46,Herbivore,Asia,184,14.551,0.993,14.812,19.575,124.393,0.657,99.478,180,13.961,0.07,9.213,23.232,60.953,0.661,1.397,15.909,28.668,124.896,0.625,160,14.894,105.005,135,13.961,0.902,8.616,26.086,58.749,0.645,105.005,135.75,16.03,0.716,8.963,30.214,65.604,0.646,105.448
Trachypithecus francoisi,Primates,Cercopithecidae,1999,107.359,22.412,Chongzuo (Guangxi),China,2.18,Census,8516.46,Herbivore,Asia,184,14.551,0.993,14.812,19.575,124.393,0.657,99.478,87,29.761,25.293,22.365,24.497,418.23,0.589,1.397,15.909,28.668,124.896,0.625,160,16.04,105.669,108,29.761,4.768,22.224,24.011,329.253,0.595,105.669,114.5,19.188,4.523,20.471,26.914,214.232,0.587,105.354
Trachypithecus francoisi,Primates,Cercopithecidae,1999,107.867,22.45,Fusui (Guangxi),China,2.84,Census,8516.46,Herbivore,Asia,152,14.551,1.73,19.118,28.849,311.624,0.612,99.478,147,17.632,0.75,27.059,25.73,108.237,0.574,2.029,21.528,26.059,133.746,0.597,159,14.617,101.532,196,17.632,1.72,25.845,22.462,80.865,0.574,101.532,167,15.951,1.682,26.355,23.466,108.476,0.574,101.135
Urocitellus parryii,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,48,Mark_recapture,759.994,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1207.106,1.284,0.167,0,0,0.215,0.27,41.096
Urocitellus parryii,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,58,Mark_recapture,759.994,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1235.345,1.087,0.137,0,0,0.193,0.259,41.092
Urocitellus parryii,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,173.07,Mark_recapture,759.994,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1323.076,0.694,0.05,0,0,0.068,0.248,40.888
Urocitellus parryii,Rodentia,Sciuridae,1999,-138.083,60.971,Kluane Lake (Yukon),Canada,131.74,Mark_recapture,759.994,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1296.189,0.81,0.065,0,0,0.089,0.253,40.971
Ursus americanus,Carnivora,Ursidae,1999,-91.35,32.26,Tensas River basin (Louisiana),United States,0.36,Mark_recapture,99949.36,Omnivore,North America,155,9.004,4.453,24.919,2.841,13.188,0.61,45.489,650,6.564,0,29.142,0,0.18,0.634,3.133,33.745,3.185,7.862,0.567,180,9.959,46.31,468,6.564,0.017,30.394,0,0.321,0.631,46.31,NA,NA,0.017,NA,NA,NA,NA,NA
Ursus arctos,Carnivora,Ursidae,1999,-113.8,48.7,Glacier National Park area,United States,0.03,Mark_recapture,180520.4,Omnivore,North America,279,2.34,1.204,8.996,0.885,2.814,0.423,57.56,178,5.344,0,0.076,0,0,0.327,0.516,1.331,0.162,1.109,0.416,333,2.166,57.969,361,5.344,0.008,1.438,0,0,0.363,57.969,361,0.923,0.008,1.438,0,0,0.363,57.969
Vulpes vulpes,Carnivora,Canidae,1999,16.75,52.13,Near Czempìn (south of Poznan),Poland,0.351,Counts,5476.174,Omnivore,Europe,68,19.237,8.345,26.718,5.534,124.056,0.571,55.044,37,27.798,14.351,37.994,7.37,95.24,0.558,11.867,31.486,6.088,229.474,0.545,59,18.586,58,48,27.798,10.862,33.419,7.099,119.773,0.554,58,48,17.836,NA,NA,NA,NA,0.554,58
Vulpes vulpes,Carnivora,Canidae,1999,16.75,52.15,vicinity of Czempiñ,Poland,0.25,Counts,5476.174,Omnivore,Europe,68,19.237,8.345,26.718,5.534,124.056,0.571,55.044,33,33.307,20.312,35.683,6.722,86.339,0.559,11.867,31.486,6.088,229.474,0.545,59,18.586,58,48,33.307,10.862,34.365,7.567,115.348,0.554,58,NA,NA,10.862,NA,NA,NA,NA,NA
Vulpes vulpes,Carnivora,Canidae,1999,16.75,52.13,Near Czempìn (south of Poznan),Poland,0.223,Counts,5476.174,Omnivore,Europe,68,19.237,8.345,26.718,5.534,124.056,0.571,55.044,37,27.798,14.351,37.994,7.37,95.24,0.558,11.867,31.486,6.088,229.474,0.545,59,18.586,58,48,27.798,10.862,33.419,7.099,119.773,0.554,58,NA,NA,NA,NA,NA,NA,0.554,58
Vulpes vulpes,Carnivora,Canidae,1999,52.45,16.95,Near Poznan,Poland,2.1,Counts,5476.174,Omnivore,Asia,803,3.813,0.089,0.88,0,2.26,0.135,16.253,992,0.221,0,0,0,0,0.144,0.057,0.009,0,0.486,0.145,923,1.316,25.243,1003,0.221,0,0,0,0.235,0.145,25.243,1003,0.264,0,0,0,0.284,0.145,25.243
Vulpes vulpes,Carnivora,Canidae,1999,-2.64,51.51,NW of Bristol,United Kingdom,1.1,Home_range,5476.174,Omnivore,Europe,56,25.721,16.787,20.499,18.61,320.813,0.673,35.215,6,46.147,61.618,12.597,5.564,1467.359,0.59,21.773,15.573,17.199,454.703,0.656,42,31.614,39,13,46.147,58.596,11.703,7.939,787.41,0.588,39,9.5,40.659,58.596,12.086,7.102,1300.513,0.594,39.472
Acinonyx jubatus,Carnivora,Felidae,2000,27.041,-25.272,,South Africa,0.04,,46700,Carnivore,Africa,210,13.042,1.975,11.811,0.295,44.289,0.403,98.682,296,7.092,0.158,1.418,0,0.032,0.417,4.607,8.474,0,73.525,0.411,176,12.759,101.165,190,7.092,0.599,5.364,0,26.532,0.412,101.165,190,10.99,0.599,NA,NA,NA,0.412,101.165
Acinonyx jubatus,Carnivora,Felidae,2000,31.92,-28.276,,South Africa,0.1,,46700,Carnivore,Africa,365,12.158,1.913,8.658,37.203,68.279,0.54,87.199,535,3.08,0,0.035,0.005,47.776,0.558,1.705,9.745,31.093,81.183,0.552,412,11.269,107.586,459,3.08,0.014,0.758,2.766,45.124,0.546,107.586,NA,NA,0.014,NA,NA,NA,NA,NA
Aepyceros melampus,Cetartiodactyla,Bovidae,2000,27.041,-25.272,,South Africa,3.624,,52500.08,Herbivore,Africa,210,13.042,1.975,11.811,0.295,44.289,0.403,98.682,296,7.092,0.158,1.418,0,0.032,0.417,4.607,8.474,0,73.525,0.411,176,12.759,101.165,190,7.092,0.599,5.364,0,26.532,0.412,101.165,144.667,7.918,3.975,4.986,0,34.045,0.409,102.22
Aepyceros melampus,Cetartiodactyla,Bovidae,2000,31.92,-28.276,,South Africa,17.496,Counts,52500.08,Herbivore,Africa,365,12.158,1.913,8.658,37.203,68.279,0.54,87.199,535,3.08,0,0.035,0.005,47.776,0.558,1.705,9.745,31.093,81.183,0.552,412,11.269,107.586,459,3.08,0.014,0.758,2.766,45.124,0.546,107.586,429.765,9.132,1.352,8.246,14.944,74.309,0.55,105.181
Agouti paca,Rodentia,Cuniculidae,2000,-89.6,17.7,Maya Biosphere Reserve,Guatemala,3.65,Distance_sampling,8172.55,Herbivore,North America,439,3.881,0.283,3.938,1.085,6.36,0.805,104.525,869,2.202,0,0,0,1.007,0.841,0.025,0.342,0.001,0.53,0.825,509,4.293,104.519,777,2.202,0,0,0,0.66,0.841,104.519,663.8,2.136,0,0,0,0.522,0.836,104.258
Alcelaphus buselaphus,Cetartiodactyla,Bovidae,2000,27.041,-25.272,,South Africa,0.322,,176116,Carnivore,Africa,210,13.042,1.975,11.811,0.295,44.289,0.403,98.682,296,7.092,0.158,1.418,0,0.032,0.417,4.607,8.474,0,73.525,0.411,176,12.759,101.165,190,7.092,0.599,5.364,0,26.532,0.412,101.165,190,10.99,NA,NA,NA,NA,0.412,101.165
Alouatta belzebul,Primates,Atelidae,2000,-56.093,-2.999,Oito de Maio (upper Marò river),Brazil,19.5,Distance_sampling,6400,Herbivore,South America,842,1.823,0.017,0.773,0.171,5.368,0.715,169.493,710,1,0,0,0,0.177,0.809,0.007,0.007,0,0.403,0.809,1214,1.289,171.211,870,1,0,0,0,0.168,0.811,171.211,1105.737,1,0,0,0,0.133,0.812,171.584
Alouatta belzebuth,Primates,Atelidae,2000,-74.667,-4.667,Reserva Nacional Pacaya Samiria (near Parinari),Peru,4,Distance_sampling,6400,Herbivore,South America,2236,1.494,0.022,0.012,0,1.22,0.805,187.129,1790,0,0,0,0,0.18,0.812,0.01,0.015,0,1.398,0.796,1596,0.263,185.435,1725,0,0,0,0,0.21,0.816,185.435,1681,0,0,0.008,0,0.648,0.809,185.78
Alouatta belzebuth,Primates,Atelidae,2000,-74.167,4.7,Reserva Nacional Pacaya Samiria (near San Miguel),Peru,4.4,Distance_sampling,6400,Herbivore,South America,230,14.486,6.355,7.817,34.441,463.65,0.634,156.125,19,48.089,61.633,10.691,19.266,8662.159,0.504,18.471,8.162,37.849,1568.94,0.624,97,21.284,175.267,22,48.089,59.98,13.894,30.581,5472.552,0.558,175.267,19.5,37.218,45.746,9.446,25.521,7485.952,0.525,175.691
Alouatta pigra,Primates,Atelidae,2000,-92.047,17.479,Palenque,Mexico,23,Census,7000.032,Herbivore,North America,195,10.692,2.976,29.441,8.2,70.623,0.738,118.174,220,12,3.534,14.382,0.315,13.17,0.8,1.784,27.214,4.467,49.909,0.778,337,11.265,116.365,298,12,1.427,13.545,0.167,48.845,0.808,116.365,384.818,10.875,1.488,30.397,2.892,46.435,0.784,116.768
Alouatta seniculus,Primates,Atelidae,2000,-74.667,-4.667,Reserva Nacional Pacaya Samiria (near Parinari),Peru,5.5,Distance_sampling,6145.539,Herbivore,South America,2236,1.494,0.022,0.012,0,1.22,0.805,187.129,1790,0,0,0,0,0.18,0.812,0.01,0.015,0,1.398,0.796,1596,0.263,185.435,1725,0,0,0,0,0.21,0.816,185.435,1600,0,0,0.007,0,0.628,0.807,186.088
Alouatta seniculus,Primates,Atelidae,2000,-74.167,4.7,Reserva Nacional Pacaya Samiria (near San Miguel),Peru,66.6,Distance_sampling,6145.539,Herbivore,South America,230,14.486,6.355,7.817,34.441,463.65,0.634,156.125,19,48.089,61.633,10.691,19.266,8662.159,0.504,18.471,8.162,37.849,1568.94,0.624,97,21.284,175.267,22,48.089,59.98,13.894,30.581,5472.552,0.558,175.267,118.75,19.69,16.14,6.58,36.646,1247.015,0.617,172.02
Antidorcas marsupialis,Cetartiodactyla,Bovidae,2000,27.041,-25.272,,South Africa,0.292,,31500,Herbivore,Africa,210,13.042,1.975,11.811,0.295,44.289,0.403,98.682,296,7.092,0.158,1.418,0,0.032,0.417,4.607,8.474,0,73.525,0.411,176,12.759,101.165,190,7.092,0.599,5.364,0,26.532,0.412,101.165,190,10.99,NA,NA,NA,NA,0.412,101.165
Axis axis,Cetartiodactyla,Cervidae,2000,76.5,26.01,Ranthambhore Tiger Reserve,India,31,Distance_sampling,67281.85,Herbivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,3.729,0,106.512,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,122.194,15.376,1.783,45.335,0.583,214.815,0.362,58.555
Axis axis,Cetartiodactyla,Cervidae,2000,75.63,13.57,Bhadra Tiger Reserve,India,4.51,Distance_sampling,67281.85,Herbivore,Asia,149,13.936,2.606,23.947,2.566,238.977,0.63,64.849,70,12.655,0.139,0.532,0.665,12.449,0.669,1.354,28.231,3.467,294.273,0.611,117,14.288,71.11,95,12.655,0.104,15.821,3.232,184.045,0.641,71.11,137.25,9.21,0.272,11.174,2.454,131.818,0.659,70.914
Bos gaurus,Cetartiodactyla,Bovidae,2000,75.63,13.57,Bhadra Tiger Reserve,India,1.48,Distance_sampling,8.00E+05,Herbivore,Asia,149,13.936,2.606,23.947,2.566,238.977,0.63,64.849,70,12.655,0.139,0.532,0.665,12.449,0.669,1.354,28.231,3.467,294.273,0.611,117,14.288,71.11,95,12.655,0.104,15.821,3.232,184.045,0.641,71.11,95,9.311,0.191,15.821,3.232,184.045,0.641,71.11
Bos gaurus,Cetartiodactyla,Bovidae,2000,102.5,4.772,"Kuala Terengan, Taman Negara National Park",Malaysia,0.03,Mark_recapture,8.00E+05,Herbivore,Asia,867,5.597,0.938,10.562,0.527,15.866,0.801,151.628,1562,2,0,0,0,2.965,0.818,0.259,8.765,0.571,7.286,0.794,936,2.807,166.536,1679,2,0,0,0,2.119,0.806,166.536,NA,NA,NA,NA,NA,NA,NA,NA
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,2000,76.5,26.01,Ranthambhore Tiger Reserve,India,11.4,Distance_sampling,169000,Herbivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,3.729,0,106.512,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,116.818,16.636,2.354,38.668,0.475,259.159,0.384,59.248
Callicebus cupreus,Primates,Pitheciidae,2000,-74.167,4.7,Reserva Nacional Pacaya Samiria (near San Miguel),Peru,248.7,Distance_sampling,914.998,Herbivore,South America,230,14.486,6.355,7.817,34.441,463.65,0.634,156.125,19,48.089,61.633,10.691,19.266,8662.159,0.504,18.471,8.162,37.849,1568.94,0.624,97,21.284,175.267,22,48.089,59.98,13.894,30.581,5472.552,0.558,175.267,219.068,13.863,6.668,6.35,38.073,383.547,0.649,167.11
Callicebus hoffmannsi,Primates,Pitheciidae,2000,-56.093,-2.999,Oito de Maio (upper Marò river),Brazil,10.2,Distance_sampling,992.407,Omnivore,South America,842,1.823,0.017,0.773,0.171,5.368,0.715,169.493,710,1,0,0,0,0.177,0.809,0.007,0.007,0,0.403,0.809,1214,1.289,171.211,870,1,0,0,0,0.168,0.811,171.211,1042.6,1,0,0,0,0.131,0.811,171.715
Callithrix humeralifera,Primates,Callitrichidae,2000,-56.093,-2.999,Oito de Maio (upper Marò river),Brazil,36.5,Distance_sampling,374.99,Omnivore,South America,842,1.823,0.017,0.773,0.171,5.368,0.715,169.493,710,1,0,0,0,0.177,0.809,0.007,0.007,0,0.403,0.809,1214,1.289,171.211,870,1,0,0,0,0.168,0.811,171.211,1234.611,1,0,0,0,0.176,0.812,171.506
Capreolus capreolus,Cetartiodactyla,Cervidae,2000,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,0.8,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,0.064,0.316,0,0.001,0.55,48.737
Capreolus capreolus,Cetartiodactyla,Cervidae,2000,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,0.6,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,1037,0.111,NA,0.316,0,0.001,0.55,48.737
Capreolus capreolus,Cetartiodactyla,Cervidae,2000,136.3,45.03,Sikhote-Alin State Biosphere Zapovednik,Russia,2.9,Counts,22500,Herbivore,Asia,885,2.54,0.143,0.206,0.049,0.914,0.561,43.088,1047,0.25,0,0.315,0,0.002,0.551,0.057,0.088,0.03,1.292,0.595,874,2.265,48.737,1037,0.25,0.064,0.316,0,0.001,0.55,48.737,898.5,0.419,0.032,0.105,0,0.063,0.552,48.84
Capricornis sumatrensis,Cetartiodactyla,Bovidae,2000,102.5,4.772,"Kuala Koh, Taman Negara National Park",Malaysia,0.23,Mark_recapture,110942.22,Herbivore,Asia,867,5.597,0.938,10.562,0.527,15.866,0.801,151.628,1562,2,0,0,0,2.965,0.818,0.259,8.765,0.571,7.286,0.794,936,2.807,166.536,1679,2,0,0,0,2.119,0.806,166.536,NA,NA,NA,NA,NA,NA,NA,NA
Cebus albifrons,Primates,Cebidae,2000,-56.093,-2.999,Oito de Maio (upper Marò river),Brazil,14.2,Distance_sampling,2628.996,Omnivore,South America,842,1.823,0.017,0.773,0.171,5.368,0.715,169.493,710,1,0,0,0,0.177,0.809,0.007,0.007,0,0.403,0.809,1214,1.289,171.211,870,1,0,0,0,0.168,0.811,171.211,1069.714,1,0,0,0,0.137,0.811,171.68
Cebus albifrons,Primates,Cebidae,2000,-74.667,-4.667,Reserva Nacional Pacaya Samiria (near Parinari),Peru,56.6,Distance_sampling,2628.996,Omnivore,South America,2236,1.494,0.022,0.012,0,1.22,0.805,187.129,1790,0,0,0,0,0.18,0.812,0.01,0.015,0,1.398,0.796,1596,0.263,185.435,1725,0,0,0,0,0.21,0.816,185.435,1528.842,0.253,0.04,0.015,0,1.317,0.797,184.808
Cebus albifrons,Primates,Cebidae,2000,-74.167,4.7,Reserva Nacional Pacaya Samiria (near San Miguel),Peru,7.6,Distance_sampling,2628.996,Omnivore,South America,230,14.486,6.355,7.817,34.441,463.65,0.634,156.125,19,48.089,61.633,10.691,19.266,8662.159,0.504,18.471,8.162,37.849,1568.94,0.624,97,21.284,175.267,22,48.089,59.98,13.894,30.581,5472.552,0.558,175.267,20.286,34.467,47.541,10.76,29.333,6463.726,0.533,175.947
Cebus apella,Primates,Cebidae,2000,-56.093,-2.999,Oito de Maio (upper Marò river),Brazil,54.8,Distance_sampling,2500,Omnivore,South America,842,1.823,0.017,0.773,0.171,5.368,0.715,169.493,710,1,0,0,0,0.177,0.809,0.007,0.007,0,0.403,0.809,1214,1.289,171.211,870,1,0,0,0,0.168,0.811,171.211,1331.709,0.947,0,0.038,0,0.239,0.812,171.426
Cebus apella,Primates,Cebidae,2000,-74.167,4.7,Reserva Nacional Pacaya Samiria (near San Miguel),Peru,30.2,Distance_sampling,2500,Omnivore,South America,230,14.486,6.355,7.817,34.441,463.65,0.634,156.125,19,48.089,61.633,10.691,19.266,8662.159,0.504,18.471,8.162,37.849,1568.94,0.624,97,21.284,175.267,22,48.089,59.98,13.894,30.581,5472.552,0.558,175.267,43.8,26.03,27.007,7.758,35.09,2599.181,0.591,173.839
Cebus apella,Primates,Cebidae,2000,-74.667,-4.667,Reserva Nacional Pacaya Samiria (near Parinari),Peru,50,Distance_sampling,2500,Omnivore,South America,2236,1.494,0.022,0.012,0,1.22,0.805,187.129,1790,0,0,0,0,0.18,0.812,0.01,0.015,0,1.398,0.796,1596,0.263,185.435,1725,0,0,0,0,0.21,0.816,185.435,1494.235,0.222,0.043,0.013,0,1.258,0.796,185.015
Cephalophus monticola,Cetartiodactyla,Bovidae,2000,9,5.3,Korup National Park,Cameroon,8.2,Distance_sampling,4896.05,Herbivore,Africa,348,9.744,0.421,4.038,2.357,55.311,0.633,120.03,257,6.705,0,0,0,14.159,0.622,0.021,1.219,1.205,31.572,0.608,419,6.827,122.346,301,6.705,0,0.033,0,21.417,0.612,122.346,390.625,6.076,0,0.108,0.189,23.818,0.625,123.185
Cephalophus natalensis,Cetartiodactyla,Bovidae,2000,31.92,-28.276,,South Africa,0.28,,11999.97,Herbivore,Africa,365,12.158,1.913,8.658,37.203,68.279,0.54,87.199,535,3.08,0,0.035,0.005,47.776,0.558,1.705,9.745,31.093,81.183,0.552,412,11.269,107.586,459,3.08,0.014,0.758,2.766,45.124,0.546,107.586,NA,NA,0.014,NA,NA,NA,NA,NA
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2000,31.92,-28.276,,South Africa,1.666,,2949986,Herbivore,Africa,365,12.158,1.913,8.658,37.203,68.279,0.54,87.199,535,3.08,0,0.035,0.005,47.776,0.558,1.705,9.745,31.093,81.183,0.552,412,11.269,107.586,459,3.08,0.014,0.758,2.766,45.124,0.546,107.586,436,6.392,0.014,3.786,8.94,56.464,0.555,108.006
Cercocebus torquatus,Primates,Cercopithecidae,2000,9.194,5.315,Korup,Cameroon,2.12,Distance_sampling,7749.97,Omnivore,Africa,348,8.479,0.421,4.038,2.357,55.311,0.633,120.03,194,16.57,0,0.238,0,22.629,0.665,0,0.824,0.296,32.768,0.649,299,6.827,126.966,254,16.57,0,0.158,0,20.976,0.659,126.966,308,10.086,0,0.123,0,20.15,0.662,126.584
